,cik_str,ticker,title
50,1800,ABT,ABBOTT LABORATORIES
51,1707925,LIN,LINDE PLC
52,313616,DHR,DANAHER CORP /DE/
53,1166691,CMCSA,COMCAST CORP
54,320187,NKE,"NIKE, Inc."
55,1283699,TMUS,"T-Mobile US, Inc."
56,1744489,DIS,Walt Disney Co
57,97476,TXN,TEXAS INSTRUMENTS INC
58,72971,WFC,WELLS FARGO & COMPANY/MN
59,1089113,HSBC,HSBC HOLDINGS PLC
60,1090727,UPS,UNITED PARCEL SERVICE INC
61,1000184,SAP,SAP SE
62,732712,VZ,VERIZON COMMUNICATIONS INC
63,1413329,PM,Philip Morris International Inc.
64,753308,NEE,NEXTERA ENERGY INC
65,1067839,QQQ,"INVESCO QQQ TRUST, SERIES 1"
66,895421,MS,MORGAN STANLEY
67,101829,RTX,RAYTHEON TECHNOLOGIES CORP
68,879764,TTE,TotalEnergies SE
69,50863,INTC,INTEL CORP
70,773840,HON,HONEYWELL INTERNATIONAL INC
71,1442651,SHECY,"Shin-Etsu Chemical Co., Ltd."
72,14272,BMY,BRISTOL MYERS SQUIBB CO
73,1121404,SNY,Sanofi
74,1000275,RY,ROYAL BANK OF CANADA
75,804328,QCOM,QUALCOMM INC/DE
76,1144967,HDB,HDFC BANK LTD
77,60667,LOW,LOWES COMPANIES INC
78,217410,UL,UNILEVER PLC
79,4962,AXP,AMERICAN EXPRESS CO
80,18230,CAT,CATERPILLAR INC
81,64040,SPGI,S&P Global Inc.
82,12927,BA,BOEING CO
83,896878,INTU,INTUIT INC.
84,887028,RTNTF,RIO TINTO LTD
85,1163165,COP,CONOCOPHILLIPS
86,100885,UNP,UNION PACIFIC CORP
87,6951,AMAT,APPLIED MATERIALS INC /DE
88,51143,IBM,INTERNATIONAL BUSINESS MACHINES CORP
89,318154,AMGN,AMGEN INC
90,315189,DE,DEERE & CO
91,40545,GE,GENERAL ELECTRIC CO
92,1035267,ISRG,INTUITIVE SURGICAL INC
93,936468,LMT,LOCKHEED MARTIN CORP
94,1613103,MDT,Medtronic plc
95,947263,TD,TORONTO DOMINION BANK
96,732717,T,AT&T INC.
97,313838,SONY,Sony Group Corp
98,1373715,NOW,"ServiceNow, Inc."
99,1045609,PLD,"Prologis, Inc."
100,1378580,EADSY,Airbus SE/ADR
101,1393818,BX,Blackstone Inc.
102,1668717,BUD,Anheuser-Busch InBev SA/NV
103,829224,SBUX,STARBUCKS CORP
104,310764,SYK,STRYKER CORP
105,886982,GS,GOLDMAN SACHS GROUP INC
106,863064,RIO,RIO TINTO PLC
107,1156039,ELV,"Elevance Health, Inc."
108,316709,SCHW,SCHWAB CHARLES CORP
109,313807,BP,BP PLC
110,1364742,BLK,BlackRock Inc.
111,1075531,BKNG,Booking Holdings Inc.
112,1103982,MDLZ,"Mondelez International, Inc."
113,835403,DEO,DIAGEO PLC
114,6281,ADI,ANALOG DEVICES INC
115,109198,TJX,TJX COMPANIES INC /DE/
116,882095,GILD,"GILEAD SCIENCES, INC."
117,1737806,PDD,PDD Holdings Inc.
118,62709,MMC,"MARSH & MCLENNAN COMPANIES, INC."
119,1140625,EQNR,EQUINOR ASA
120,1119639,PBR,PETROBRAS - PETROLEO BRASILEIRO SA
121,67088,MUFG,MITSUBISHI UFJ FINANCIAL GROUP INC
122,831001,C,CITIGROUP INC
123,1053507,AMT,AMERICAN TOWER CORP /MA/
124,8670,ADP,AUTOMATIC DATA PROCESSING INC
125,1274152,CSLLY,CSL LTD
126,875320,VRTX,VERTEX PHARMACEUTICALS INC / MA
127,64803,CVS,CVS HEALTH Corp
128,707549,LRCX,LAM RESEARCH CORP
129,1543151,UBER,"Uber Technologies, Inc"
130,1067318,MBGYY,DAIMLER AG
131,1559720,ABNB,"Airbnb, Inc."
132,1739940,CI,Cigna Group
133,1594805,SHOP,SHOPIFY INC.
134,764180,MO,"ALTRIA GROUP, INC."
135,860730,HCA,"HCA Healthcare, Inc."
136,1103838,IBN,ICICI BANK LTD
137,16868,CNI,CANADIAN NATIONAL RAILWAY CO
138,1551182,ETN,Eaton Corp plc
139,896159,CB,Chubb Ltd
140,872589,REGN,"REGENERON PHARMACEUTICALS, INC."
141,1555280,ZTS,Zoetis Inc.
142,1327567,PANW,Palo Alto Networks Inc
143,798354,FI,FISERV INC
144,80661,PGR,PROGRESSIVE CORP/OH/
145,885725,BSX,BOSTON SCIENTIFIC CORP
146,92122,…T AIRPORT GROUP,
924,842162,LEA,LEAR CORP
925,1669162,KNSL,"Kinsale Capital Group, Inc."
926,1720635,NVT,nVent Electric plc
927,1849853,STVN,Stevanato Group S.p.A.
928,937556,MASI,MASIMO CORP
929,1531152,BJ,"BJ's Wholesale Club Holdings, Inc."
930,818686,TEVA,TEVA PHARMACEUTICAL INDUSTRIES LTD
931,818479,XRAY,DENTSPLY SIRONA Inc.
932,1633931,BLD,TopBuild Corp
933,1023128,LAD,LITHIA MOTORS INC
934,1289419,MORN,"Morningstar, Inc."
935,70318,THC,TENET HEALTHCARE CORP
936,1450123,JBSAY,JBS S.A.
937,1065837,SKX,SKECHERS USA INC
938,1639438,CAVA,"CAVA GROUP, INC."
939,40729,ALLY,Ally Financial Inc.
940,910073,NYCB,NEW YORK COMMUNITY BANCORP INC
941,1533232,BEP,Brookfield Renewable Partners L.P.
942,106640,WHR,WHIRLPOOL CORP /DE/
943,1771917,KRTX,"Karuna Therapeutics, Inc."
944,719955,WSM,WILLIAMS SONOMA INC
945,315213,RHI,ROBERT HALF INTERNATIONAL INC.
946,7536,ARW,"ARROW ELECTRONICS, INC"
947,1446457,BDNNY,Boliden AB
948,19584,CHE,CHEMED CORP
949,1091907,WWE,WORLD WRESTLING ENTERTAINMENTINC
950,1449003,ASXFY,ASX Ltd.
951,1037038,RL,RALPH LAUREN CORP
952,1845338,MNDY,monday.com Ltd.
953,1170858,SBS,COMPANHIA DE SANEAMENTO BASICO DO ESTADO DE SAO PAULO-SABESP
954,1818874,SOFI,"SoFi Technologies, Inc."
955,34903,FRT,FEDERAL REALTY INVESTMENT TRUST
956,1308547,DLB,"Dolby Laboratories, Inc."
957,314590,SSL,SASOL LTD
958,1596783,CTLT,"Catalent, Inc."
959,1232524,JAZZ,Jazz Pharmaceuticals plc
960,350894,SEIC,SEI INVESTMENTS CO
961,1570585,LBTYA,Liberty Global plc
962,730272,RGEN,REPLIGEN CORP
963,769520,MIDD,MIDDLEBY Corp
964,1342874,TX,Ternium S.A.
965,914208,IVZ,Invesco Ltd.
966,1309108,WEX,WEX Inc.
967,751364,NNN,"NNN REIT, INC."
968,1438569,GRFS,Grifols SA
969,1015650,SKM,SK TELECOM CO LTD
970,96223,JEF,Jefferies Financial Group Inc.
971,16058,CACI,CACI INTERNATIONAL INC /DE/
972,49600,EGP,EASTGROUP PROPERTIES INC
973,1653482,GTLB,Gitlab Inc.
974,1418819,IRDM,Iridium Communications Inc.
975,1378992,BERY,"BERRY GLOBAL GROUP, INC."
976,1557860,GLOB,Globant S.A.
977,1789832,HESM,Hess Midstream LP
978,1616707,W,Wayfair Inc.
979,85535,RGLD,ROYAL GOLD INC
980,1910851,RCM,R1 RCM Inc. /DE
981,216228,ITT,ITT INC.
982,896622,ATR,"APTARGROUP, INC."
983,935494,NATI,NATIONAL INSTRUMENTS CORP
984,350698,AN,"AUTONATION, INC."
985,1326380,GME,GameStop Corp.
986,1289460,TXRH,"Texas Roadhouse, Inc."
987,1481045,DSEEY,Daiwa Securities Group Inc.
988,29644,DCI,DONALDSON Co INC
989,100826,UELMO,UNION ELECTRIC CO
990,1069157,EWBC,EAST WEST BANCORP INC
991,1327068,USO,"United States Oil Fund, LP"
992,1852244,GXO,"GXO Logistics, Inc."
993,1732845,WRK,WestRock Co
994,1408075,GPK,GRAPHIC PACKAGING HOLDING CO
995,1816007,LU,Lufax Holding Ltd
996,201533,CMS-PB,CONSUMERS ENERGY CO
997,938323,PSO,PEARSON PLC
998,1650729,SITE,"SiteOne Landscape Supply, Inc."
999,103379,VFC,V F CORP
1000,1037976,JLL,JONES LANG LASALLE INC
1001,888491,OHI,OMEGA HEALTHCARE INVESTORS INC
1002,1681459,FTI,TechnipFMC plc
1003,1635088,ROIV,Roivant Sciences Ltd.
1004,1826168,TIMB,TIM S.A.
1005,74260,ORI,OLD REPUBLIC INTERNATIONAL CORP
1006,1034670,ALV,AUTOLIV INC
1007,1668397,MEDP,"Medpace Holdings, Inc."
1008,1520697,ACHC,"Acadia Healthcare Company, Inc."
1009,1049502,MKSI,MKS INSTRUMENTS INC
1010,1616862,AXTA,Axalta Coating Systems Ltd.
1011,1528849,RH,RH
1012,1334036,CROX,"Crocs, Inc."
1013,1047127,AMKR,"AMKOR TECHNOLOGY, INC."
1014,1021635,OGE,OGE ENERGY CORP.
1015,921825,FR,FIRST INDUSTRIAL REALTY TRUST INC
1016,1860742,BLCO,Bausch & Lomb Corp
1017,1360604,HR,Healthcare Realty Trust Inc
1018,941221,ICL,ICL Group Ltd.
1019,1131383,STN,STANTEC INC
1020,1402388,WFG,"WEST FRASER TIMBER CO., LTD"
1021,1430162,CSAN,Cosan S.A.
1022,1475922,PRI,"Primerica, Inc."
1023,1330568,SLV,iShares Silver Trust
1024,889331,LFUS,LITTELFUSE INC /DE
1025,1856525,CNM,"Core & Main, Inc."
1026,1766363,EDR,"Endeavor Group Holdings, Inc."
1027,108312,WWD,"Woodward, Inc."
1028,1173382,CAE,CAE INC
1029,63276,MAT,MATTEL INC /DE/
1030,39263,CFR,"CULLEN/FROST BANKERS, INC."
1031,315852,RRC,RANGE RESOURCES CORP
1032,1069878,TREX,TREX CO INC
1033,1535929,VOYA,"Voya Financial, Inc."
1034,895419,WOLF,"WOLFSPEED, INC."
1035,1046257,INGR,Ingredion Inc
1036,1831097,AGL,"agilon health, inc."
1037,1818201,CCCS,CCC Intelligent Solutions Holdings Inc.
1038,26324,CW,CURTISS WRIGHT CORP
1039,906553,BYD,BOYD GAMING CORP
1040,917273,RMBS,RAMBUS INC
1041,931015,PII,Polaris Inc.
1042,1398659,G,Genpact LTD
1043,853816,LSTR,LANDSTAR SYSTEM INC
1044,1433270,AR,ANTERO RESOURCES Corp
1045,1838413,YMM,Full Truck Alliance Co. Ltd.
1046,1637810,FSV,FirstService Corp
1047,1092699,SPSC,SPS COMMERCE INC
1048,1166003,XPO,"XPO, Inc."
1049,1819848,JOBY,"Joby Aviation, Inc."
1050,355811,GNTX,GENTEX CORP
1051,1206264,TPX,"TEMPUR SEALY INTERNATIONAL, INC."
1052,1835963,GLBE,Global-E Online Ltd.
1053,1005284,OLED,UNIVERSAL DISPLAY CORP PA
1054,766421,ALK,"ALASKA AIR GROUP, INC."
1055,1513845,YNDX,Yandex N.V.
1056,1477294,ST,Sensata Technologies Holding plc
1057,74303,OLN,OLIN Corp
1058,1372920,EDU,New Oriental Education & Technology Group Inc.
1059,1573516,MUSA,Murphy USA Inc.
1060,1842827,BZ,Kanzhun Ltd
1061,1050140,DSGX,DESCARTES SYSTEMS GROUP INC
1062,1767582,LKNCY,Luckin Coffee Inc.
1063,785161,EHC,Encompass Health Corp
1064,1302215,HLI,"HOULIHAN LOKEY, INC."
1065,1264136,WF,WOORI FINANCIAL GROUP INC.
1066,892553,GTLS,CHART INDUSTRIES INC
1067,98362,TKR,TIMKEN CO
1068,801337,WBS,WEBSTER FINANCIAL CORP
1069,1267238,AIZ,"ASSURANT, INC."
1070,1479094,STAG,"STAG Industrial, Inc."
1071,66570,MSA,MSA Safety Inc
1072,1618732,NTNX,"Nutanix, Inc."
1073,7332,SWN,SOUTHWESTERN ENERGY CO
1074,1581068,BRX,Brixmor Property Group Inc.
1075,918646,EXP,EAGLE MATERIALS INC
1076,1770787,TXG,"10x Genomics, Inc."
1077,1157557,CIG,ENERGY CO OF MINAS GERAIS
1078,1748797,DOOO,BRP Inc.
1079,851968,MHK,MOHAWK INDUSTRIES INC
1080,885550,CACC,CREDIT ACCEPTANCE CORP
1081,1071371,CIB,BANCOLOMBIA SA
1082,71691,NYT,NEW YORK TIMES CO
1083,1546354,DUFRY,Dufry AG/ADR
1084,887936,FCN,"FTI CONSULTING, INC"
1085,1486957,BWXT,"BWX Technologies, Inc."
1086,1723690,BILI,Bilibili Inc.
1087,1764046,CLVT,CLARIVATE Plc
1088,1598110,CYBR,CyberArk Software Ltd.
1089,1819928,DV,"DoubleVerify Holdings, Inc."
1090,1486159,CHRD,Chord Energy Corp
1091,1076930,NOVT,NOVANTA INC
1092,36966,FHN,FIRST HORIZON CORP
1093,1516513,DOCS,"Doximity, Inc."
1094,1021860,NOV,NOV Inc.
1095,1796209,APG,APi Group Corp
1096,717605,HXL,HEXCEL CORP /DE/
1097,1111928,IPGP,IPG PHOTONICS CORP
1098,720672,SF,STIFEL FINANCIAL CORP
1099,1619762,IGT,International Game Technology PLC
1100,1324948,RBC,RBC Bearings INC
1101,936395,CIEN,CIENA CORP
1102,1707753,ESTC,Elastic N.V.
1103,750004,LNW,"Light & Wonder, Inc."
1104,1465128,STWD,"STARWOOD PROPERTY TRUST, INC."
1105,22444,CMC,COMMERCIAL METALS Co
1106,1520006,MTDR,Matador Resources Co
1107,939767,EXEL,"EXELIXIS, INC."
1108,84246,RLI,RLI CORP
1109,1093691,PLUG,PLUG POWER INC
1110,77877,PDCE,"PDC ENERGY, INC."
1111,1723089,CHX,ChampionX Corp
1112,1437178,EGFEY,EFG Eurobank Ergasias S.A./ADR
1113,917251,ADC,AGREE REALTY CORP
1114,795403,WTS,WATTS WATER TECHNOLOGIES INC
1115,102729,VMI,VALMONT INDUSTRIES INC
1116,14930,BC,BRUNSWICK CORP
1117,22356,CBSH,COMMERCE BANCSHARES INC /MO/
1118,1433195,APPF,APPFOLIO INC
1119,1558812,MEJHY,MEIJI Holdings Co Ltd/ADR
1120,1528396,GWRE,"Guidewire Software, Inc."
1121,1675149,AA,Alcoa Corp
1122,1600033,ELF,"e.l.f. Beauty, Inc."
1123,1658566,PR,Permian Resources Corp
1124,1701732,ALTR,Altair Engineering Inc.
1125,1571123,SAIC,Science Applications International Corp
1126,1637207,PLNT,"Planet Fitness, Inc."
1127,1567514,ITCI,"Intra-Cellular Therapies, Inc."
1128,317540,COKE,"Coca-Cola Consolidated, Inc."
1129,1142417,NXST,"NEXSTAR MEDIA GROUP, INC."
1130,912767,UFPI,UFP INDUSTRIES INC
1131,1046311,CHH,CHOICE HOTELS INTERNATIONAL INC /DE
1132,1786431,REYN,Reynolds Consumer Products Inc.
1133,717423,MUR,MURPHY OIL CORP
1134,1666138,ATKR,Atkore Inc.
1135,1477049,PHYS,Sprott Physical Gold Trust
1136,1237831,GMED,GLOBUS MEDICAL INC
1137,1113232,ACLS,AXCELIS TECHNOLOGIES INC
1138,1423689,AGNC,AGNC Investment Corp.
1139,1449005,JSCPY,JSR Corp.
1140,701818,KGC,KINROSS GOLD CORP
1141,1035983,FIX,COMFORT SYSTEMS USA INC
1142,874015,IONS,IONIS PHARMACEUTICALS INC
1143,1029199,EEFT,"EURONET WORLDWIDE, INC."
1144,1895262,NE,Noble Corp plc
1145,1472787,FAF,First American Financial Corp
1146,1174169,AQN,ALGONQUIN POWER & UTILITIES CORP.
1147,1636222,WING,Wingstop Inc.
1148,91767,SON,SONOCO PRODUCTS CO
1149,1562088,DUOL,"Duolingo, Inc."
1150,1448978,SMBMY,SembCorp Marine Ltd.
1151,1722684,WH,"WYNDHAM HOTELS & RESORTS, INC."
1152,1288847,FIVN,"Five9, Inc."
1153,1012100,SEE,SEALED AIR CORP/DE
1154,1014739,OPCH,"Option Care Health, Inc."
1155,1061894,GIL,Gildan Activewear Inc.
1156,920371,SSD,"Simpson Manufacturing Co., Inc."
1157,1657853,HTZ,"HERTZ GLOBAL HOLDINGS, INC"
1158,230557,SIGI,SELECTIVE INSURANCE GROUP INC
1159,28412,CMA,COMERICA INC /NEW/
1160,1512544,ITTOY,ITOCHU Techno-Solutions Corporation/ADR
1161,1754581,FUTU,Futu Holdings Ltd
1162,1018963,ATI,ATI INC
1163,1521036,LNTH,"Lantheus Holdings, Inc."
1164,1688568,DXC,DXC Technology Co
1165,94845,LEVI,LEVI STRAUSS & CO
1166,1287865,MPW,MEDICAL PROPERTIES TRUST INC
1167,1163302,X,UNITED STATES STEEL CORP
1168,884614,UGI,UGI CORP /PA/
1169,775158,OSK,OSHKOSH CORP
1170,937098,TNET,"TRINET GROUP, INC."
1171,892450,KT,KT CORP
1172,1852131,NXT,Nextracker Inc.
1173,1703056,ADT,ADT Inc.
1174,1567683,CWEN,"Clearway Energy, Inc."
1175,1710864,MSSMY,Misumi Group Inc./ADR
1176,704532,ONTO,ONTO INNOVATION INC.
1177,1040829,RHP,"Ryman Hospitality Properties, Inc."
1178,1794669,FOUR,"Shift4 Payments, Inc."
1179,1494319,UNVR,Univar Solutions Inc.
1180,1791863,BEPC,Brookfield Renewable Corp
1181,1830043,BMBL,Bumble Inc.
1182,109563,AIT,APPLIED INDUSTRIAL TECHNOLOGIES INC
1183,1308606,SRC,"SPIRIT REALTY CAPITAL, INC."
1184,1509589,CIVI,"CIVITAS RESOURCES, INC."
1185,1455955,PUTKY,PT United Tractors Tbk / ADR
1186,1553915,CRCBY,"Chongqing Rural Commercial Bank Co., Ltd./ADR"
1187,1604821,NTRA,"Natera, Inc."
1188,1530950,POST,"Post Holdings, Inc."
1189,1623925,AM,Antero Midstream Corp
1190,1370418,SLFPY,STANDARD LIFE PLC
1191,1492074,ABCM,Abcam plc
1192,1627223,CC,Chemours Co
1193,1906324,QDEL,QuidelOrtho Corp
1194,1757073,NVST,Envista Holdings Corp
1195,730263,THO,THOR INDUSTRIES INC
1196,1638833,SGRY,"Surgery Partners, Inc."
1197,57515,LANC,LANCASTER COLONY CORP
1198,1815846,MNSO,MINISO Group Holding Ltd
1199,887153,SIM,"GRUPO SIMEC, S.A.B. de C.V."
1200,78239,PVH,PVH CORP. /DE/
1201,875357,BOKF,BOK FINANCIAL CORP
1202,1800227,IAC,IAC Inc.
1203,1749723,NFE,New Fortress Energy Inc.
1204,28917,DDS,"DILLARD'S, INC."
1205,1820877,AIRC,Apartment Income REIT Corp.
1206,1410939,ISEE,"IVERIC bio, Inc."
1207,1004434,AMG,"AFFILIATED MANAGERS GROUP, INC."
1208,833640,POWI,POWER INTEGRATIONS INC
1209,1068851,PB,PROSPERITY BANCSHARES INC
1210,816761,TDC,TERADATA CORP /DE/
1211,1447137,BKGFY,Berkeley Group Holdings plc
1212,1840776,HGTY,"Hagerty, Inc."
1213,771992,PAAS,PAN AMERICAN SILVER CORP
1214,1422183,FSK,FS KKR Capital Corp
1215,60519,LPX,LOUISIANA-PACIFIC CORP
1216,1003078,MSM,MSC INDUSTRIAL DIRECT CO INC
1217,1124941,BECN,BEACON ROOFING SUPPLY INC
1218,1451505,RIG,Transocean Ltd.
1219,1428336,HQY,"HEALTHEQUITY, INC."
1220,1437578,BFAM,BRIGHT HORIZONS FAMILY SOLUTIONS INC.
1221,1128928,FLO,FLOWERS FOODS INC
1222,1562476,TMHC,Taylor Morrison Home Corp
1223,1584207,OMF,"OneMain Holdings, Inc."
1224,1698990,MGY,Magnolia Oil & Gas Corp
1225,1868778,INFA,Informatica Inc.
1226,1038074,SLAB,SILICON LABORATORIES INC.
1227,1655888,ORCC,Owl Rock Capital Corp
1228,1125376,ENSG,"ENSIGN GROUP, INC"
1229,1821825,OGN,Organon & Co.
1230,849869,SLGN,SILGAN HOLDINGS INC
1231,793952,HOG,"HARLEY-DAVIDSON, INC."
1232,1435969,MXCHY,"Orbia Advance Corporation, S.A.B. de C.V./ADR"
1233,1057877,IDA,IDACORP INC
1234,1674910,VVV,VALVOLINE INC
1235,1411207,ALSN,Allison Transmission Holdings Inc
1236,1445305,WK,WORKIVA INC
1237,824142,AAON,"AAON, INC."
1238,1144215,AYI,ACUITY BRANDS INC
1239,833079,MTH,Meritage Homes CORP
1240,1722608,IQ,"iQIYI, Inc."
1241,1809104,ALIT,"Alight, Inc. / Delaware"
1242,78150,PHI,PLDT Inc.
1243,1822479,SHC,Sotera Health Co
1244,1032220,MMS,"MAXIMUS, INC."
1245,1144980,ABG,ASBURY AUTOMOTIVE GROUP INC
1246,1366561,SMAR,SMARTSHEET INC
1247,1603145,NEP,"NEXTERA ENERGY PARTNERS, LP"
1248,1674168,HGV,Hilton Grand Vacations Inc.
1249,802481,PPC,PILGRIMS PRIDE CORP
1250,797721,VSAT,VIASAT INC
1251,1544522,FRSH,Freshworks Inc.
1252,911177,CWST,CASELLA WASTE SYSTEMS INC
1253,1534504,PBF,PBF Energy Inc.
1254,1114700,GGAL,GRUPO FINANCIERO GALICIA SA
1255,1692063,SNDR,"Schneider National, Inc."
1256,1799208,DNB,"Dun & Bradstreet Holdings, Inc."
1257,764038,SSB,SouthState Corp
1258,1381640,MLCO,Melco Resorts & Entertainment LTD
1259,1448893,ESNT,Essent Group Ltd.
1260,1742924,LTHM,Livent Corp.
1261,1520262,ALKS,Alkermes plc.
1262,1592000,ENLC,"EnLink Midstream, LLC"
1263,275880,PSN,PARSONS CORP
1264,1286043,KRG,KITE REALTY GROUP TRUST
1265,1476150,TRNO,Terreno Realty Corp
1266,1788348,BIPC,Brookfield Infrastructure Corp
1267,1720671,HCP,"HashiCorp, Inc."
1268,1297989,EXLS,"ExlService Holdings, Inc."
1269,1944013,CR,Crane Co
1270,1307954,HUN,Huntsman CORP
1271,89439,MLI,MUELLER INDUSTRIES INC
1272,1618563,NSA,National Storage Affiliates Trust
1273,1786842,VNT,Vontier Corp
1274,1612042,ASND,Ascendis Pharma A/S
1275,1739104,ELAN,Elanco Animal Health Inc
1276,1805387,CERE,"Cerevel Therapeutics Holdings, Inc."
1277,12659,HRB,H&R BLOCK INC
1278,1489079,ADOOY,Adaro Energy PT/ADR/
1279,1660280,TENB,"Tenable Holdings, Inc."
1280,1050446,MSTR,MICROSTRATEGY Inc
1281,1772016,BRBR,"BELLRING BRANDS, INC."
1282,1510599,PDI,PIMCO Dynamic Income Fund
1283,932696,NSIT,INSIGHT ENTERPRISES INC
1284,30625,FLS,FLOWSERVE CORP
1285,1776967,NTCO,Natura &Co Holding S.A.
1286,924805,FRHC,Freedom Holding Corp.
1287,1159036,HALO,"HALOZYME THERAPEUTICS, INC."
1288,1603923,WFRD,Weatherford International plc
1289,1842022,DTM,"DT Midstream, Inc."
1290,855654,IMGN,"ImmunoGen, Inc."
1291,1178819,AGI,ALAMOS GOLD INC
1292,1296445,ORA,"ORMAT TECHNOLOGIES, INC."
1293,1050797,COLM,COLUMBIA SPORTSWEAR CO
1294,1360901,EVR,Evercore Inc.
1295,1477720,ASAN,"Asana, Inc."
1296,38725,FELE,FRANKLIN ELECTRIC CO INC
1297,1820953,AFRM,"Affirm Holdings, Inc."
1298,314808,VAL,Valaris Ltd
1299,856982,MMSI,MERIT MEDICAL SYSTEMS INC
1300,1107843,QLYS,"QUALYS, INC."
1301,1429937,BTG,B2GOLD CORP
1302,70145,NFG,NATIONAL FUEL GAS CO
1303,52827,RYN,RAYONIER INC
1304,851520,EXPO,EXPONENT INC
1305,1378239,OMAB,Central North Airport Group
1306,1331520,HOMB,HOME BANCSHARES INC
1307,1469395,PAM,Pampa Energy Inc.
1308,1437774,BZZUY,BUZZI UNICEM S.p.A.
1309,1408710,FN,Fabrinet
1310,1439288,ZWS,Zurn Elkay Water Solutions Corp
1311,1448056,NEWR,"NEW RELIC, INC."
1312,1071438,BAK,BRASKEM SA
1313,711377,NEOG,NEOGEN CORP
1314,1487712,AL,AIR LEASE CORP
1315,1590714,ESI,Element Solutions Inc
1316,1569650,OZK,Bank OZK
1317,56047,KEX,KIRBY CORP
1318,1424929,FOXF,FOX FACTORY HOLDING CORP
1319,1493594,MTSI,"MACOM Technology Solutions Holdings, Inc."
1320,1649094,PCVX,"Vaxcyte, Inc."
1321,69891,FIZZ,NATIONAL BEVERAGE CORP
1322,1394832,ATS,ATS Corp /ATS
1323,356309,NJR,NEW JERSEY RESOURCES CORP
1324,30697,WEN,Wendy's Co
1325,1868941,FLNC,"Fluence Energy, Inc."
1326,40211,GATX,GATX CORP
1327,1660734,TRTN,Triton International Ltd
1328,1866368,CWAN,"Clearwater Analytics Holdings, Inc."
1329,1690820,CVNA,CARVANA CO.
1330,1214816,AXS,AXIS CAPITAL HOLDINGS LTD
1331,876437,MTG,MGIC INVESTMENT CORP
1332,8858,AVT,AVNET INC
1333,1674862,ASH,ASHLAND INC.
1334,1000753,NSP,"INSPERITY, INC."
1335,1659939,ENIC,Enel Chile S.A.
1336,784977,POR,PORTLAND GENERAL ELECTRIC CO /OR/
1337,1524358,VAC,MARRIOTT VACATIONS WORLDWIDE Corp
1338,1692115,SWX,"Southwest Gas Holdings, Inc."
1339,1833756,DRS,"Leonardo DRS, Inc."
1340,1585364,PRGO,PERRIGO Co plc
1341,1274173,JHG,JANUS HENDERSON GROUP PLC
1342,18349,SNV,SYNOVUS FINANCIAL CORP
1343,1786909,SBSW,Sibanye Stillwater Ltd
1344,1556593,RITM,Rithm Capital Corp.
1345,1476204,PECO,"Phillips Edison & Company, Inc."
1346,1645113,NVCR,NovoCure Ltd
1347,794367,M,"Macy's, Inc."
1348,1804745,DRVN,Driven Brands Holdings Inc.
1349,20520,FYBR,"Frontier Communications Parent, Inc."
1350,1636519,MSGS,Madison Square Garden Sports Corp.
1351,763901,BPOP,"POPULAR, INC."
1352,1015328,WTFC,WINTRUST FINANCIAL CORP
